Rk,Squad,MP,W,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top_Team_Scorer_Name,Top_Team_Scorer_Num_Goals
1,Liverpool,21,14,1,47,18,29,48,2.29,D D W W W,Mohamed Salah ,14
2,Manchester City,20,13,3,48,23,25,43,2.15,W D W W W,Erling Haaland ,14
3,Arsenal,21,13,4,42,20,22,43,2.05,W D L L W,Bukayo Saka ,6
4,Aston Villa,21,13,4,43,27,16,43,2.05,W D L W D,Ollie Watkins ,9
5,Tottenham,21,12,5,44,31,13,40,1.9,W W L W D,Son Heungmin ,12
6,West Ham,21,10,6,35,32,3,35,1.67,W W W D D,Jarrod Bowen ,11
7,Brighton,21,8,5,38,33,5,32,1.52,L D W D D,João Pedro ,7
8,Manchester Utd,21,10,9,24,29,-5,32,1.52,D L W L D,Scott McTominay ,5
9,Chelsea,21,9,8,35,31,4,31,1.48,W L W W W,Cole Palmer ,9
10,Newcastle Utd,21,9,10,41,32,9,29,1.38,W L L L L,Alexander Isak ,10
11,Wolves,21,8,8,30,31,-1,29,1.38,L W W W D,Hwang Heechan ,10
12,Bournemouth,20,7,9,28,39,-11,25,1.25,W W W L L,Dominic Solanke ,12
13,Fulham,21,7,11,28,36,-8,24,1.14,L L L W L,Raúl Jiménez ,5
14,Brentford,20,6,10,29,33,-4,22,1.1,L L L L W,Bryan Mbeumo ,7
15,Crystal Palace,21,5,10,22,34,-12,21,1.0,D D L W L,Odsonne Édouard ,6
16,Nott'ham Forest,21,5,11,26,38,-12,20,0.95,L L W W L,Chris Wood ,8
17,Everton,21,8,10,24,28,-4,17,0.81,W L L L D,Abdoulaye Doucouré ,6
18,Luton Town,20,4,12,24,38,-14,16,0.8,L W W L D,Elijah Adebayo ,5
19,Burnley,21,3,15,21,42,-21,12,0.57,L W L L D,"Lyle Foster, Zeki Amdouni ",4
20,Sheffield Utd,21,2,15,17,51,-34,10,0.48,L D L L D,Oliver McBurnie ,4
