Rk,Squad,MP,W,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top_Team_Scorer_Name,Top_Team_Scorer_Num_Goals
1,Arsenal,15,11,1,33,14,19,36,2.4,L W W W W,"Eddie Nketiah, Bukayo Saka ",5
2,Liverpool,15,10,1,34,14,20,34,2.27,D W D W W,Mohamed Salah ,10
3,Aston Villa,15,10,3,34,20,14,32,2.13,L W W D W,Ollie Watkins ,8
4,Manchester City,15,9,3,36,17,19,30,2.0,W D D D L,Erling Haaland ,14
5,Tottenham,15,8,4,29,22,7,27,1.8,L L L D L,Son Heungmin ,9
6,Manchester Utd,15,9,6,18,18,0,27,1.8,W W W L W,Scott McTominay ,5
7,Newcastle Utd,15,8,5,32,17,15,26,1.73,W L W W L,"Callum Wilson, Alexander Isak ",7
8,Brighton,15,7,4,32,27,5,25,1.67,D D W L W,Evan Ferguson ,6
9,West Ham,15,7,5,26,25,1,24,1.6,L W W D W,Jarrod Bowen ,9
10,Chelsea,15,5,6,26,24,2,19,1.27,W D L W L,Nicolas Jackson ,6
11,Brentford,15,5,6,23,21,2,19,1.27,W L L W L,Bryan Mbeumo ,7
12,Fulham,15,5,7,21,26,-5,18,1.2,L L W L W,"Willian, Raúl Jiménez... ",3
13,Wolves,15,5,7,20,25,-5,18,1.2,L W L L W,Hwang Heechan ,8
14,Crystal Palace,15,4,7,14,21,-7,16,1.07,W L L D L,Odsonne Édouard ,6
15,Bournemouth,15,4,7,18,30,-12,16,1.07,L W W D W,Dominic Solanke ,7
16,Nott'ham Forest,15,3,8,16,27,-11,13,0.87,W L L L L,Taiwo Awoniyi ,4
17,Everton,15,6,7,18,20,-2,10,0.67,D W L W W,Abdoulaye Doucouré ,5
18,Luton Town,15,2,10,16,30,-14,9,0.6,D L W L L,"Carlton Morris, Elijah Adebayo ",3
19,Burnley,15,2,12,15,33,-18,7,0.47,L L L W L,"Josh Brownhill, Lyle Foster ",3
20,Sheffield Utd,15,1,12,11,41,-30,5,0.33,W D L L L,"Oliver McBurnie, Gustavo Hamer... ",2
