Rk,Squad,MP,W,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top_Team_Scorer_Name,Top_Team_Scorer_Num_Goals
1,Liverpool,26,18,2,63,25,38,60,2.31,W L W W W,Mohamed Salah ,15
2,Manchester City,26,18,3,59,26,33,59,2.27,W W D W W,Erling Haaland ,17
3,Arsenal,26,18,4,62,23,39,58,2.23,W W W W W,Bukayo Saka ,13
4,Aston Villa,26,16,6,56,35,21,52,2.0,L W L W W,Ollie Watkins ,14
5,Tottenham,25,14,6,52,38,14,47,1.88,D W D W L,Son Heungmin ,12
6,Manchester Utd,26,14,10,36,36,0,44,1.69,W W W W L,"Scott McTominay, Rasmus Højlund ",7
7,Brighton,26,10,7,49,41,8,39,1.5,L W L W D,João Pedro ,8
8,West Ham,26,11,9,40,46,-6,39,1.5,D L L L W,Jarrod Bowen ,14
9,Wolves,26,11,10,40,40,0,38,1.46,L W L W W,Hwang Heechan ,10
10,Newcastle Utd,26,11,11,54,45,9,37,1.42,W D W D L,Alexander Isak ,10
11,Chelsea,25,10,10,42,41,1,35,1.4,W L L W D,Cole Palmer ,10
12,Fulham,26,9,12,36,42,-6,32,1.23,D D W L W,"Raúl Jiménez, Bobby Reid ",5
13,Crystal Palace,26,7,12,31,44,-13,28,1.08,W L L D W,"Odsonne Édouard, Michael Olise ",6
14,Bournemouth,25,7,11,33,47,-14,28,1.12,D D L D L,Dominic Solanke ,14
15,Everton,26,8,11,28,34,-6,25,0.96,D D L D D,Abdoulaye Doucouré ,6
16,Brentford,26,7,15,37,48,-11,25,0.96,L W L L L,Bryan Mbeumo ,7
17,Nott'ham Forest,26,6,14,34,48,-14,24,0.92,L D L W L,Chris Wood ,8
18,Luton Town,25,5,15,35,51,-16,20,0.8,W D L L L,Elijah Adebayo ,9
19,Burnley,26,3,19,25,58,-33,13,0.5,L D L L L,"Lyle Foster, Zeki Amdouni ",4
20,Sheffield Utd,26,3,19,22,66,-44,13,0.5,L L W L L,"Oliver McBurnie, Cameron Archer ",4
