Rk,Squad,MP,W,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top_Team_Scorer_Name,Top_Team_Scorer_Num_Goals
1,Arsenal,17,12,2,35,15,20,39,2.29,W W W L W,"Eddie Nketiah, Bukayo Saka ",5
2,Liverpool,17,11,1,36,15,21,38,2.24,D W W W D,Mohamed Salah ,11
3,Aston Villa,17,12,3,37,21,16,38,2.24,W D W W W,Ollie Watkins ,9
4,Manchester City,17,10,3,40,20,20,34,2.0,D D L W D,Erling Haaland ,14
5,Tottenham,17,10,4,35,23,12,33,1.94,L D L W W,Son Heungmin ,10
6,Newcastle Utd,17,9,6,36,21,15,29,1.71,W W L L W,"Callum Wilson, Alexander Isak ",7
7,Manchester Utd,17,9,7,18,21,-3,28,1.65,W L W L D,Scott McTominay ,5
8,West Ham,17,8,6,29,30,-1,27,1.59,W D W L W,Jarrod Bowen ,10
9,Brighton,17,7,5,33,30,3,26,1.53,W L W D L,Evan Ferguson ,6
10,Chelsea,17,6,7,28,26,2,22,1.29,L W L L W,Nicolas Jackson ,7
11,Fulham,17,6,8,26,29,-3,21,1.24,W L W W L,"Willian, Raúl Jiménez ",4
12,Brentford,17,5,8,24,24,0,19,1.12,L W L L L,Bryan Mbeumo ,7
13,Wolves,17,5,8,21,29,-8,19,1.12,L L W D L,Hwang Heechan ,8
14,Bournemouth,16,5,7,21,30,-9,19,1.19,W W D W W,Dominic Solanke ,8
15,Crystal Palace,17,4,8,17,25,-8,17,1.0,L D L L D,Odsonne Édouard ,6
16,Everton,17,8,7,22,20,2,16,0.94,L W W W W,Abdoulaye Doucouré ,6
17,Nott'ham Forest,17,3,9,17,30,-13,14,0.82,L L L D L,Taiwo Awoniyi ,4
18,Luton Town,16,2,11,17,32,-15,9,0.56,L W L L L,Elijah Adebayo ,4
19,Burnley,17,2,13,16,36,-20,8,0.47,L W L D L,"Josh Brownhill, Lyle Foster ",3
20,Sheffield Utd,17,2,13,12,43,-31,8,0.47,L L L W L,"Oliver McBurnie, Gustavo Hamer... ",2
