Rk,Squad,MP,W,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top_Team_Scorer_Name,Top_Team_Scorer_Num_Goals
1,Liverpool,23,15,2,52,22,30,51,2.22,W W W W L,Mohamed Salah ,14
2,Manchester City,22,15,3,54,25,29,49,2.23,W W W W W,Erling Haaland ,14
3,Arsenal,23,15,4,47,22,25,49,2.13,L L W W W,Bukayo Saka ,8
4,Aston Villa,23,14,5,49,30,19,46,2.0,L W D L W,Ollie Watkins ,11
5,Tottenham,23,13,5,49,35,14,44,1.91,L W D W D,Son Heungmin ,12
6,Manchester Utd,23,12,9,31,32,-1,38,1.65,W L D W W,Scott McTominay ,6
7,West Ham,23,10,7,36,36,0,36,1.57,W D D D L,Jarrod Bowen ,11
8,Brighton,23,9,6,42,38,4,35,1.52,W D D L W,João Pedro ,8
9,Newcastle Utd,23,10,10,48,37,11,33,1.43,L L L W D,Alexander Isak ,10
10,Wolves,23,9,9,37,37,0,32,1.39,W W D L W,Hwang Heechan ,10
11,Chelsea,23,9,10,38,39,-1,31,1.35,W W W L L,Cole Palmer ,10
12,Bournemouth,22,7,9,30,41,-11,27,1.23,W L L D D,Dominic Solanke ,13
13,Fulham,23,7,11,30,38,-8,26,1.13,L W L D D,Raúl Jiménez ,5
14,Crystal Palace,23,6,11,26,40,-14,24,1.04,L W L W L,"Odsonne Édouard, Michael Olise ",6
15,Brentford,22,6,12,32,39,-7,22,1.0,L L W L L,Bryan Mbeumo ,7
16,Nott'ham Forest,23,5,12,28,41,-13,21,0.91,W W L L D,Chris Wood ,8
17,Luton Town,22,5,12,32,42,-10,20,0.91,W L D W D,Elijah Adebayo ,9
18,Everton,23,8,10,26,30,-4,19,0.83,L L D D D,Abdoulaye Doucouré ,6
19,Burnley,23,3,16,24,47,-23,13,0.57,L L D L D,"Lyle Foster, Zeki Amdouni ",4
20,Sheffield Utd,23,2,17,19,59,-40,10,0.43,L L D L L,Oliver McBurnie ,4
