Rk,Squad,MP,W,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top_Team_Scorer_Name,Top_Team_Scorer_Num_Goals
1,Arsenal,13,9,1,27,10,17,30,2.31,D W L W W,Eddie Nketiah ,5
2,Manchester City,13,9,2,33,13,20,29,2.23,W W W D D,Erling Haaland ,14
3,Liverpool,13,8,1,28,11,17,28,2.15,W W D W D,Mohamed Salah ,10
4,Aston Villa,13,9,3,31,18,13,28,2.15,W W L W W,Ollie Watkins ,7
5,Tottenham,13,8,3,25,17,8,26,2.0,W W L L L,Son Heungmin ,8
6,Manchester Utd,13,8,5,16,16,0,24,1.85,W L W W W,"Bruno Fernandes, Scott McTominay ",3
7,Newcastle Utd,13,7,4,31,14,17,23,1.77,W D W L W,"Callum Wilson, Alexander Isak ",7
8,Brighton,13,6,3,28,23,5,22,1.69,L D D D W,Evan Ferguson ,6
9,West Ham,13,6,5,23,23,0,20,1.54,L L L W W,Jarrod Bowen ,8
10,Chelsea,13,4,5,22,20,2,16,1.23,D L W D L,Nicolas Jackson ,6
11,Brentford,13,4,5,19,18,1,16,1.23,W W W L L,Bryan Mbeumo ,6
12,Wolves,13,4,6,18,23,-5,15,1.15,W D L W L,Hwang Heechan ,7
13,Crystal Palace,13,4,6,13,18,-5,15,1.15,L L W L L,Odsonne Édouard ,5
14,Fulham,13,4,6,13,22,-9,15,1.15,L D L L W,Willian ,3
15,Nott'ham Forest,13,3,6,16,21,-5,13,1.0,D L W L L,Taiwo Awoniyi ,4
16,Bournemouth,13,3,7,14,28,-14,12,0.92,L W L W W,Dominic Solanke ,6
17,Luton Town,13,2,8,12,23,-11,9,0.69,D L D L W,Carlton Morris ,3
18,Sheffield Utd,13,1,10,11,34,-23,5,0.38,L L W D L,"Oliver McBurnie, Gustavo Hamer... ",2
19,Everton,13,4,7,14,20,-6,4,0.31,L W D W L,Abdoulaye Doucouré ,4
20,Burnley,13,1,11,10,32,-22,4,0.31,L L L L L,Lyle Foster ,3
