Rk,Squad,MP,W,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top_Team_Scorer_Name,Top_Team_Scorer_Num_Goals
1,Liverpool,20,13,1,43,18,25,45,2.25,W D D W W,Mohamed Salah ,14
2,Aston Villa,20,13,4,43,27,16,42,2.1,W W D L W,Ollie Watkins ,9
3,Manchester City,19,12,3,45,21,24,40,2.11,L W D W W,Erling Haaland ,14
4,Arsenal,20,12,4,37,20,17,40,2.0,L W D L L,Bukayo Saka ,6
5,Tottenham,20,12,5,42,29,13,39,1.95,W W W L W,Son Heungmin ,12
6,West Ham,20,10,6,33,30,3,34,1.7,L W W W D,Jarrod Bowen ,11
7,Brighton,20,8,5,38,33,5,31,1.55,D L D W D,João Pedro ,7
8,Manchester Utd,20,10,9,22,27,-5,31,1.55,L D L W L,Scott McTominay ,5
9,Newcastle Utd,20,9,9,39,29,10,29,1.45,L W L L L,Alexander Isak ,9
10,Chelsea,20,8,8,34,31,3,28,1.4,L W L W W,Cole Palmer ,8
11,Wolves,20,8,8,30,31,-1,28,1.4,D L W W W,Hwang Heechan ,10
12,Bournemouth,19,7,8,28,35,-7,25,1.32,W W W W L,Dominic Solanke ,12
13,Fulham,20,7,10,28,35,-7,24,1.2,W L L L W,Raúl Jiménez ,5
14,Crystal Palace,20,5,9,22,29,-7,21,1.05,L D D L W,Odsonne Édouard ,6
15,Nott'ham Forest,20,5,10,24,35,-11,20,1.0,D L L W W,Chris Wood ,7
16,Brentford,19,5,10,26,31,-5,19,1.0,L L L L L,Bryan Mbeumo ,7
17,Everton,20,8,10,24,28,-4,16,0.8,W W L L L,Abdoulaye Doucouré ,6
18,Luton Town,19,4,12,23,37,-14,15,0.79,L L W W L,Elijah Adebayo ,5
19,Burnley,20,3,15,20,41,-21,11,0.55,D L W L L,Lyle Foster ,4
20,Sheffield Utd,20,2,15,15,49,-34,9,0.45,W L D L L,"Oliver McBurnie, Cameron Archer ",3
