Rk,Squad,MP,W,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top_Team_Scorer_Name,Top_Team_Scorer_Num_Goals
1,Liverpool,16,11,1,36,15,21,37,2.31,W D W W W,Mohamed Salah ,11
2,Arsenal,16,11,2,33,15,18,36,2.25,W W W W L,"Eddie Nketiah, Bukayo Saka ",5
3,Aston Villa,16,11,3,35,20,15,35,2.19,W W D W W,Ollie Watkins ,8
4,Manchester City,16,10,3,38,18,20,33,2.06,D D D L W,Erling Haaland ,14
5,Tottenham,16,9,4,33,23,10,30,1.88,L L D L W,Son Heungmin ,10
6,Manchester Utd,16,9,7,18,21,-3,27,1.69,W W L W L,Scott McTominay ,5
7,Newcastle Utd,16,8,6,33,21,12,26,1.63,L W W L L,"Callum Wilson, Alexander Isak ",7
8,Brighton,16,7,4,33,28,5,26,1.63,D W L W D,Evan Ferguson ,6
9,West Ham,16,7,6,26,30,-4,24,1.5,W W D W L,Jarrod Bowen ,9
10,Fulham,16,6,7,26,26,0,21,1.31,L W L W W,"Willian, Raúl Jiménez ",4
11,Brentford,16,5,7,23,22,1,19,1.19,L L W L L,Bryan Mbeumo ,7
12,Chelsea,16,5,7,26,26,0,19,1.19,D L W L L,Nicolas Jackson ,6
13,Wolves,16,5,7,21,26,-5,19,1.19,W L L W D,Hwang Heechan ,8
14,Bournemouth,16,5,7,21,30,-9,19,1.19,W W D W W,Dominic Solanke ,8
15,Crystal Palace,16,4,8,15,23,-8,16,1.0,L L D L L,Odsonne Édouard ,6
16,Nott'ham Forest,16,3,8,17,28,-11,14,0.88,L L L L D,Taiwo Awoniyi ,4
17,Everton,16,7,7,20,20,0,13,0.81,W L W W W,Abdoulaye Doucouré ,6
18,Luton Town,16,2,11,17,32,-15,9,0.56,L W L L L,Elijah Adebayo ,4
19,Burnley,16,2,12,16,34,-18,8,0.5,L L W L D,"Josh Brownhill, Lyle Foster ",3
20,Sheffield Utd,16,2,12,12,41,-29,8,0.5,D L L L W,"Oliver McBurnie, Gustavo Hamer... ",2
